id	name	subcats	price	variants	description
2086	Saugheber Typ 2 aus Alu 80kg		121.00		Saugheber Tragkraft: max. 80 kg (horizontal) 40 kg / (vertikal). / Handlicher Saugheber in Aluminium-Ausführung für das Heben von diversen Werkstücken mit glatter und dichter Oberfläche. Durch Umlegen des Kipphebels wird das Vakuum erzeugt.
2139	AKEMI PLATINUM P+ L-Spezial 170 Gramm	AKEMI Produkte	21.50		AKEMI Platinum P+ L-Spezial transparent 170g, gelartiger, transparent-opaker Kleber (sehr helle Eigenfarbe), Basis Epoxyacrylat, hohe Klebekraft, sehr schnelle Oberflächentrocknung und Weiterverarbeitbarkeit. Verändert seine Konsistenz durch Verrühren nicht, lebensmittelunbedenklich (bestätigt durch externes deutsches Prüfinstitut) / Sehr gut zum Kleben und Kitten von Natur- und Kunststein (wie Ma
2192	FERROFIX-Montagegerät		449.00		FERROFIX Montagegerät für Keramikkochfelder / 2-teilig / Das Ferrofix-Montagegerät ist aus der Praxis entwickelt worden, damit das Montieren von flächenbündigen Glaskeramil-Kochfeldern schneller und genauer erledigt werden kann.
2212	AKEMI Crystal Clean Konzentrat	AKEMI Produkte	21.00		AKEMI Crystal Clean 1 Liter + 5 Liter Konzentrat. Säure- und laugenfreies Reinigungsmittel aus Tensiden, Hilfsmitteln, Duftstoffen und Alkoholen, frei von phosphathaltigen Substanzen, / leicht biologisch abbaubar, / schlierenfrei und schnell trocknend, im Lebensmittelbereich einsetzbar (bestätigt durch externes deutsches Prüfinstitut) Zur täglichen Entfernung von leichten Verschmutzungen, z.B. lei
2221	StoneLux® 2.0 Bluetron Handlichtgerät		1		Stonelux blue:tron LED Handlichtgerät (Akkubetrieben) / NEUE 2023 Version (Powerlicht). Leistungsstarkes blue:tron Lichthärtegerät mit einer Härtezeit von 15 Sekunden/60 Sekunden (mit Cover) / Vorteile: / Präzise und schnell härten (15/60 Sekunden) / Geringes Netzhaut Blendrisiko bei 60 Sekunden mit Blende / Grössere Material Durchhärtungstiefe / Soft-Edge Geräte-Design / 1 x Akku-Pack. Hohe Licht
2241	StoneLux 2.0Transpa Flow Spritze 3ml		78.50		StoneLux® 2.0 3ml Spritze transpa / Reparaturmaterial wird für Kleinkorrekturen angewendet oder als oberste Schicht auf hochglänzenden Steinoberflächen. / Auch für Stempeltechnik geeignet.
2253	Slx StoneLux® 2.0 Schleif-& Polierblock		16.80		ART StoneLux, Schleif- und Polierblock aus Kork und Filz. / Für Endbearbeitung / Verwendung: Die Korkseite dient zum Schleifen mit den Schleifleinen. Die Filzseite wird zum Polieren verwendet, um die Polierpaste in kreisenden Bewegungen einzuarbeiten.
2330	AKEMI Imprägnierungs-Entferner	AKEMI Produkte	48.90		Imprägnierungs-Entferner 1 Liter, konzentriertes, hoch alkalisches Reinigungsmittel in Gelform, geruchlos und lösungsmittelfrei, biologisch abbaubar. Für die professionelle Anwendung Zum Beseitigen von Verfleckungen durch Imprägnierungen sowie extrem hartnäckigen Verschmutzungen (z.B. Lackreste) auf Naturstein, Betonwerkstein und Klinker. Wegen seiner gelartigen Konsistenz für den horizontalen (z.
2384	AKEMI COLOUR BOND Skelettpistole ECO 10:1	AKEMI Produkte	191.00		AKEMI COLOURBOND Skelettpistole / Die Kartuschenpresse ECO ist eine manuell betriebene Presse, die sich ideal für die Verklebung von Colour Bond 2K-Klebstoffen eignet. Die Presse ermöglicht einen präzisen und gleichmäßigen Auftrag des Klebstoffes. / Kraftübersetzung: 18:1 / Mischungsverhältnis: 10:1 / Auftrag: Raupenauftrag / für 250ml Kartuschen / schwere Qualität / Für diese manuell betriebene K
2390	KGS TELUM® Handrutscher 90 x 55 mm Körnung 50-3000		37.00		TELUM® Diamanthandrutscher 90x55mm / Die KGS Telum ® Handrutscher besitzen ein einzigartiges KGS Premum Design, eine Pfeilgeometrie in verschiedene Richtungen, die für gleichmäßiges Schleifen steht. Die KGS DIAMOND patentierte diamantbeschichtete Schleif- bzw. Polieroberfläche ist sehr hart. Sie gilt als eine der innovativsten und leistungsfähigsten im Markt. KGS Telum ® Handrutscher erzielen ein 
2407	Arbeitschürze AGRITEX 95x120	PSA Plattenleger	45.00		Arbeitsschürze AGRITEX 95x120 cm grün Gewicht: 1kg / Grüne Arbeitsschürze aus Polyestergewebe mit beidseitiger Spezial-PVC-Beschichtung, reiss- und abriebfest, weitgehend öl-, fett- und säureresistent,Materialstärke 0,5 mm, Oberteil mit gesäumten Kanten, längenverstellbare Schulter- und Bundbänder mit Klickverschlüssen, Grösse 95 × 120 cm. / Einsatzbereich Geschmeidige, solide Arbeitsschürze für L
2413	Arbeitsschürze mit Schultertragriemen	PSA Plattenleger	99.00		Arbeitsschürze Anticid 90x110cm braun Gewicht: 900g / mit / Schultertragriemen / und Bundband mit Klickverschluss / Aus Polyestergewebe mit beidseitiger Nitrillatex beschichtung,sehr reiss- und abriebfest. / Materialstärke 0,5 mm.
2414	PSA Arbeitschürze ANTICID, braun mit Halsriemen 90x140cm	PSA Plattenleger	119.50		Arbeitsschürze Anticid 90 x 140 cm braun Gewicht: 850 g / Oberteil mit gesäumten Kanten konfektionierter Halsriemen und Bindebändel. / Einfach mit Schere oder Cutter zu kürzen. / Aus Polyestergewebe mit beidseitiger Nitrillatex beschichtung,sehr reiss- und abriebfest, sehr gute Beständigkeit gegen Öle, Fette, Säuren, Laugen (nicht in zu hoher Konzentration) aliphatischen Kohlewasserstoffen, Heissw
2421	Schutzärmel PVC grün Paar	PSA Plattenleger	18.00		Schutzärmel aus grünem PUR Kunstleder zum Schutz des Unterarms und des Ellbogens vor Wasserspritzern und Feuchtigkeit. / Standardgrösse
2635	KSK 6 Flammenform keramisch ø16x32mm K24/36		4.70		Kleinschleifkörper KSK / ø 16x32mm / Schaft ø 6mm x 40 mm / Korn 24/36 / Aus Siliziumcarbid / Form E / Aufnahme / 6mm
2652	KGS Swiflex-COBRA Diamanttrennscheibe mit Aufnahme M14		93.00		Diamanttrennscheibe SWIFLEX Cobra mit Flansch M14 galvanisiert K50/60, galvano ø115mm-230mm M14. / Doppelseitig belegt / seitlicher Flansch aus Alu. / Einsatzgebiet: Beton / Granit / Marmor / Keramik / Die Universale Trenn-und Schruppscheibe zur Bearbeitung von allen Materialien. Eine neuartige Diamantqualität und ein neues Galvanisierungsverfahren machen dieses Diamantwerkzeug zu einem echten Par
